486
178
(10.000000, -28.781700, 80.000008) (0.100000, 0.412183, 0.800000) (0.000000, 0.000000)
(10.000000, -6.497601, 90.000008) (0.100000, 0.635024, 0.900000) (0.000000, 0.000000)
(20.000000, -27.647900, 90.000008) (0.200000, 0.423521, 0.900000) (0.000000, 0.000000)
(10.000000, -28.781700, 80.000008) (0.100000, 0.412183, 0.800000) (0.000000, 0.000000)
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(30.000002, -24.658802, 0.000000) (0.300000, 0.453412, 0.000000) (0.000000, 0.000000)
(20.000000, -43.634300, 0.000000) (0.200000, 0.263657, 0.000000) (0.000000, 0.000000)
(20.000000, -43.366299, 10.000000) (0.200000, 0.266337, 0.100000) (0.000000, 0.000000)
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(20.000000, -43.634300, 0.000000) (0.200000, 0.263657, 0.000000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(20.000000, -43.366299, 10.000000) (0.200000, 0.266337, 0.100000) (0.000000, 0.000000)
(20.000000, -41.181198, 20.000000) (0.200000, 0.288188, 0.200000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(20.000000, -43.366299, 10.000000) (0.200000, 0.266337, 0.100000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(20.000000, -41.181198, 20.000000) (0.200000, 0.288188, 0.200000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(20.000000, -41.181198, 20.000000) (0.200000, 0.288188, 0.200000) (0.000000, 0.000000)
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(20.000000, -21.844997, 40.000000) (0.200000, 0.481550, 0.400000) (0.000000, 0.000000)
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(20.000000, -25.184502, 30.000002) (0.200000, 0.448155, 0.300000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
